Question,Difficulty,Correct Answer,Option 1,Option 2,Option 3,Option 4
"Who amongst these is not a member of the Nigerian music duo, P-Square?",medium,D,A. Peter Okoye,B. Paul Okoye,C. Jude Okoye,D. Innocent Ujah
Who is known as the queen of Afrobeats?,easy,B,A. Yemi Alade,B. Tiwa Savage,C. Simi,D. Tems
Which Nigerian movie got international recognition for its unique narrative in 2021?,medium,C,A. King of Boys,B. Living in Bondage,C. The Milkmaid,D. Lionheart
Which Nigerian actress starred in the movie 'Half of a Yellow Sun'?,medium,A,A. Genevieve Nnaji,B. Omotola Jalade Ekeinde,C. Lupita Nyong'o,D. Chiwetel Ejiofor
What is the highest-grossing Nigerian movie as of 2023?,hard,D,A. The Wedding Party,B. Jenifa,C. Chief Daddy,D. Omo Ghetto: The Saga
Which kingdom was a powerful empire in present-day Nigeria around the 15th century?,medium,B,A. Mali,B. Benin,C. Ghana,D. Hausa
In which year was the Nigerian civil war concluded?,medium,A,A. 1970,B. 1967,C. 1963,D. 1975
The oil boom in Nigeria began during which decade?,medium,C,A. 1950s,B. 1960s,C. 1970s,D. 1980s
Which historic kingdom in Nigeria is known for its bronze sculptures?,hard,B,A. Sokoto,B. Benin,C. Zazzau,D. Nri
Which important historical event occurred in Nigeria in 1914?,hard,B,A. It became a British colony,B. The amalgamation of Northern and Southern Nigeria,C. The independence of Nigeria,D. The beginning of the Biafra War
Where in the human body is the femur bone located?,easy,B,A. Arm,B. Leg,C. Spine,D. Skull
The human brain is primarily composed of what type of cells?,medium,C,A. Epithelial cells,B. Muscle cells,C. Neurons,D. Osteocytes
What is the stage name of Nigerian superstar Damini Ogulu?,medium,B,A. Wizkid,B. Burna Boy,C. Mr Eazi,D. Patoranking
Who directed the award-winning film 'Half of a Yellow Sun'?,medium,B,A. Kunle Afolayan,B. Biyi Bandele,C. Tunde Kelani,D. Genevieve Nnaji
Omotola Jalade Ekeinde is popularly known by what nickname?,easy,A,A. Omosexy,B. Omostar,C. Omolady,D. Omoglam
Which musician's album is titled 'Twice as Tall'?,easy,A,A. Burna Boy,B. Wizkid,C. Olamide,D. Davido
Which historical figure was the first woman to drive a car in Nigeria?,medium,B,A. Margaret Ekpo,B. Funmilayo Ransome-Kuti,C. Queen Amina,D. Madam Tinubu
Who played the role of Anikulapo in the Nigerian film of the same name?,hard,A,A. Kunle Remi,B. Timini Egbuson,C. Richard Mofe-Damijo,D. Ramsey Nouah
Which Nigerian film featured the phrase 'The Wedding Party'?,easy,C,A. Fifty,B. Lionheart,C. The Wedding Party,D. Isoken
Who is the artist behind the hit song 'Essence' featuring Justin Bieber?,medium,C,A. Burna Boy,B. Davido,C. Wizkid,D. Fireboy DML
In which part of the body would you find the 'scapula'?,easy,C,A. Leg,B. Arm,C. Shoulder,D. Hip
Which muscle is located in the human arm?,easy,C,A. Deltoid,B. Quadriceps,C. Biceps,D. Gastrocnemius
Which artist won a Grammy for the album 'African Giant'?,medium,C,A. Wizkid,B. Tiwa Savage,C. Burna Boy,D. Yemi Alade
What was Nigeria's system of government before independence?,medium,C,A. Parliamentary republic,B. Presidential republic,C. Colonial rule,D. Confederation
Which Nigerian comedian is known for the character 'Aki'?,medium,A,A. Chinedu Ikedieze,B. Osita Iheme,C. Bovi,D. Basketmouth
What year did the British amalgamate Nigeria's Northern and Southern protectorates?,medium,B,A. 1910,B. 1914,C. 1920,D. 1904
Which muscle is known as the calf muscle?,medium,C,A. Biceps,B. Triceps,C. Gastrocnemius,D. Hamstring
"Who is considered the founder of modern Nigerian film, often called 'Nollywood'?",hard,D,A. Zeb Ejiro,B. Hubert Ogunde,C. Amaka Igwe,D. Ola Balogun
"Who is the current 'Ooni of Ife', a prominent traditional ruler in Nigeria?",hard,B,A. Oba Enitan Ogunwusi,B. Oba Adeyeye Ogunwusi,C. Oba Okunade Sijuwade,D. Oba Lamidi Adeyemi
"What year did the Nigerian Civil War, also known as the Biafra War, start?",medium,C,A. 1963,B. 1966,C. 1967,D. 1970
Which prominent Nigerian figure co-founded the Nigerian Women's Union in 1946?,hard,A,A. Funmilayo Ransome-Kuti,B. Margaret Ekpo,C. Flora Nwapa,D. Funke Akindele
What is the architectural landmark known as the 'Three Arms Zone' in Nigeria?,hard,B,A. Abuja National Mosque,B. Aso Villa,C. Millennium Tower,D. Lagos City Hall
What is the real name of Nollywood actress Genevieve Nnaji?,easy,C,A. Genevieve Eme,B. Nollywood Star G,C. Genevieve Nnaji,D. Chiamaka Gene
In which year was the film 'The Wedding Party' released in Nigeria?,medium,B,A. 2015,B. 2016,C. 2017,D. 2018
Which of these Nigerian artists won a Grammy Award for Best Global Music Album in 2021?,medium,B,A. Femi Kuti,B. Burna Boy,C. Tiwa Savage,D. Simi
Which Nigerian movie was the first to be nominated for an Oscar?,medium,A,A. Lionheart,B. King of Boys,C. Living in Bondage,D. The Wedding Party
What is the stage name of the Nigerian artist Ayodeji Ibrahim Balogun?,easy,B,A. Davido,B. Wizkid,C. Burna Boy,D. Flavour
Which Nigerian afrobeats song features both Wizkid and Drake?,medium,C,A. Ojuelegba,B. One Dance,C. Come Closer,D. Essence
Who is the director of the 1992 classic Nigerian film 'Living in Bondage'?,hard,A,A. Kenneth Nnebue,B. Kunle Afolayan,C. Tunde Kelani,D. Izu Ojukwu
What does the acronym 'AMVCA' stand for in the context of Nigerian film awards?,easy,B,A. African Music and Video Conference Awards,B. Africa Magic Viewers' Choice Awards,C. Alliance Movies Video Cassettes Awards,D. African Movies and Visuals Council Awards
Which Nigerian leader declared independence from British rule in 1963?,medium,B,A. Obafemi Awolowo,B. Nnamdi Azikiwe,C. Tafawa Balewa,D. Yakubu Gowon
The Biafran War in Nigeria lasted from 1967 to which year?,medium,B,A. 1969,B. 1970,C. 1971,D. 1972
What event led to the Nigerian Civil War in 1967?,hard,C,A. A military coup,B. Independence from Britain,C. The creation of the Republic of Biafra,D. The oil boom
Which ancient city in Nigeria is known for its terracotta sculptures dating from 500 BC to AD 200?,hard,B,A. Ife,B. Nok,C. Benin,D. Igbo-Ukwu
The Benin Kingdom was famous for its advanced artistic techniques in which material?,medium,B,A. Stone,B. Bronze,C. Wood,D. Ivory
Which Nigerian empire was known for its powerful cavalry and trading prowess?,medium,A,A. Oyo Empire,B. Benin Empire,C. Kanem-Bornu Empire,D. Igbo Confederation
The ancient city of Igbo-Ukwu is renowned for what type of artifact?,hard,A,A. Bronze sculptures,B. Wooden masks,C. Iron smelting tools,D. Glass beads
What is the outer layer of the human skin called?,easy,B,A. Dermis,B. Epidermis,C. Hypodermis,D. Subcutaneous
The heart consists of how many chambers?,medium,B,A. 2,B. 4,C. 6,D. 8
What part of the cell is responsible for generating energy?,medium,B,A. Nucleus,B. Mitochondria,C. Ribosome,D. Endoplasmic reticulum
Where in the human body are red blood cells produced?,medium,B,A. Liver,B. Bone marrow,C. Heart,D. Kidney
Which historical event led to the merger of Northern and Southern Nigeria in 1914?,medium,C,A. The advent of colonialism,B. The Berlin Conference,C. The Amalgamation,D. The Lagos Treaty
Which political figure was the first President of Nigeria after it became a republic in 1963?,medium,B,A. Yakubu Gowon,B. Nnamdi Azikiwe,C. Shehu Shagari,D. Olusegun Obasanjo
Who was the first Nigerian artist to headline a show at Madison Square Garden in New York?,medium,A,A. Burna Boy,B. Wizkid,C. Davido,D. Tiwa Savage
Who played the lead role in the Nigerian film 'Lionheart'?,medium,A,A. Genevieve Nnaji,B. Omotola Jalade Ekeinde,C. Rita Dominic,D. Funke Akindele
Which historical figure was the first African to win a Nobel Prize in Literature?,easy,A,A. Wole Soyinka,B. Chinua Achebe,C. Ngũgĩ wa Thiong'o,D. Chimamanda Ngozi Adichie
Which famous Nigerian musician sang 'Fela Anikulapo Kuti's' mother was a prominent activist?,medium,A,A. Kuti,B. Anikulapo,C. Beere,D. Risikat
What is Tunde Kelani known for in the Nigerian entertainment industry?,medium,C,A. Acting,B. Music,C. Directing,D. Dance
Which Nigerian movie broke records for being one of the highest-grossing films in the country's history?,medium,A,A. The Wedding Party,B. Lionheart,C. 30 Days in Atlanta,D. Half of a Yellow Sun
What is the powerhouse of a cell called?,hard,C,A. Nucleus,B. Ribosome,C. Mitochondria,D. Golgi apparatus
Which Nigerian music genre is known for its fusion of traditional rhythms and modern beats?,medium,C,A. Highlife,B. Juju,C. Afrobeat,D. Fuji
Who is known as the 'King of Fuji music'?,hard,A,A. Wasiu Ayinde,B. King Sunny Ade,C. Fela Kuti,D. Lagbaja
In which part of the body are the smallest bones located?,easy,A,A. Ear,B. Nose,C. Foot,D. Hand
Which Nigerian artist is famously known for the song 'Ojuelegba'?,medium,C,A. Burna Boy,B. Davido,C. Wizkid,D. Tiwa Savage
Which Nigerian king resisted colonial rule in the early 20th century?,hard,A,A. King Jaja of Opobo,B. Oba of Benin,C. Queen Amina,D. King Kosoko
What layer of the skin is responsible for its color?,medium,A,A. Epidermis,B. Dermis,C. Subcutaneous,D. Stratum
Which Nigerian city is renowned as the film capital of Nollywood?,easy,A,A. Lagos,B. Kano,C. Benin City,D. Enugu
Which Nigerian artist won a Grammy Award for Best Global Music Album?,medium,C,A. Tiwa Savage,B. Yemi Alade,C. Burna Boy,D. Wizkid
What body part connects muscles to bones?,hard,B,A. Ligaments,B. Tendons,C. Cartilage,D. Nerves
Which Nigerian booker prize winner wrote 'The Famished Road'?,hard,C,A. Buchi Emecheta,B. Chinua Achebe,C. Ben Okri,D. Wole Soyinka
Who released the album 'A Better Time'?,medium,B,A. Burna Boy,B. Davido,C. Wizkid,D. Phyno
What war is referred to as the Biafran War?,medium,A,A. Nigerian Civil War,B. Yoruba Wars,C. Jihad War,D. Benin War
Who is credited as the pioneer of Afrobeats?,hard,B,A. Lagbaja,B. Fela Kuti,C. King Sunny Ade,D. Shina Peters
Which Nigerian film is based on a novel by Chimamanda Ngozi Adichie?,medium,B,A. Lionheart,B. Half of a Yellow Sun,C. October 1,D. The Figurine
"Who is the Nigerian artist behind 'Essence', featuring Tems?",easy,D,A. Burna Boy,B. Davido,C. Olamide,D. Wizkid
In what year was Lagos declared a 'mega city'?,hard,C,A. 2000,B. 2004,C. 2006,D. 2010
What organ is primarily responsible for producing bile?,medium,B,A. Stomach,B. Liver,C. Pancreas,D. Gallbladder
What is the primary cultural festival celebrated by the Yoruba people?,medium,B,A. Durbar,B. Eyo Festival,C. New Yam Festival,D. Argungu Festival
Which artist's hit song is 'Jerusalema'?,hard,C,A. Wizkid,B. Burna Boy,C. Master KG,D. Davido
The Ife terracotta sculptures are associated with which Nigerian ethnic group?,hard,C,A. Igbo,B. Hausa,C. Yoruba,D. Benin
Which Nigerian artist had a global hit with 'If'?,easy,B,A. Tiwa Savage,B. Davido,C. Burna Boy,D. Wizkid
Who was Nigeria's first female novelist?,hard,B,A. Buchi Emecheta,B. Flora Nwapa,C. Cyprian Ekwensi,D. Chimamanda Ngozi Adichie
Which component is not part of the human digestive system?,hard,D,A. Esophagus,B. Liver,C. Pancreas,D. Spleen
Who was the notable Nigerian nationalist and founder of NCNC?,medium,D,A. Funmilayo Ransome-Kuti,B. Obafemi Awolowo,C. Tafawa Balewa,D. Nnamdi Azikiwe
Which Nigerian artist is known for 'African Queen'?,easy,B,A. Wizkid,B. 2Baba,C. Olamide,D. D'banj
"What year was the Nigerian film industry, Nollywood, established?",medium,B,A. 1990,B. 1992,C. 1995,D. 2000
Which musician is known for pioneering Afrobeat music?,easy,A,A. Fela Kuti,B. King Sunny Ade,C. Sonny Okosun,D. Lagbaja
Who was the ruler of the ancient kingdom of Ife?,medium,B,A. Oba of Benin,B. Ooni of Ife,C. Alaafin of Oyo,D. Emir of Kano
What is the ancestral home of the Yoruba people?,medium,A,A. Ife,B. Abuja,C. Lagos,D. Onitsha
"In human anatomy, which organ is mainly responsible for producing insulin?",easy,B,A. Liver,B. Pancreas,C. Gallbladder,D. Thyroid
Which genre of music is Rema known for?,medium,B,A. Reggae,B. Afrobeats,C. Jazz,D. Highlife
Which Nigerian city is known for its historical wall defense?,medium,A,A. Kano,B. Lagos,C. Abuja,D. Ibadan
Who starred in the iconic Nollywood film 'Living in Bondage'?,medium,B,A. Ramsey Nouah,B. Kanayo O. Kanayo,C. Pete Edochie,D. RMD
What part of the human body is the femur located in?,easy,B,A. Arm,B. Leg,C. Skull,D. Rib cage
What is the famous Nigerian dish made from beans and rice?,easy,D,A. Jollof Rice,B. Ofada,C. Moi Moi,D. Rice and Beans
Which revolutionary is known as the 'lion of the cameroons' in Nigerian history?,hard,A,A. Nnamdi Azikiwe,B. Samuel Ajayi Crowther,C. Funmilayo Ransome-Kuti,D. Jaja of Opobo
Which Nigerian capital city is known for its rocky terrain?,hard,B,A. Ibadan,B. Abuja,C. Lagos,D. Kano
Which state in Nigeria is known as the 'Home of Peace and Tourism'?,medium,C,A. Kaduna,B. Borno,C. Plateau,D. Cross River
Who is often called the Father of modern Nigerian music?,hard,B,A. Sunday Adeniyi,B. Fela Kuti,C. Ayinde Barrister,D. Rex Lawson
What is the main theme of the novel 'Half of a Yellow Sun'?,hard,B,A. Love,B. War,C. Peace,D. Freedom
Where is the Nigerian National Theatre located?,easy,C,A. Abuja,B. Kano,C. Lagos,D. Port Harcourt
In which city is the Obafemi Awolowo Stadium located?,medium,A,A. Ibadan,B. Lagos,C. Abuja,D. Enugu
Which war saw Nigeria contributing peacekeeping troops?,medium,C,A. Korean War,B. Gulf War,C. Sierra Leone Civil War,D. American Civil War
What structure in the body connects bones to other bones?,hard,C,A. Muscles,B. Cartilage,C. Ligaments,D. Tendons
The song 'Somebody's Son' is by which Nigerian artist?,easy,B,A. Simi,B. Tiwa Savage,C. Yemi Alade,D. Asa
What is the central belief of the Yoruba religion?,hard,B,A. Monotheism,B. Polytheism,C. Atheism,D. Agnosticism
Which organ contains the loop of Henle?,hard,C,A. Liver,B. Heart,C. Kidney,D. Lungs
Where is the ancient Nok terracotta sculptures found?,hard,B,A. Sokoto,B. Jos,C. Benin,D. Ife
Which organ is responsible for hearing?,easy,D,A. Eye,B. Nose,C. Tongue,D. Ear
What is Seun Kuti widely recognized for?,easy,B,A. Acting,B. Singing,C. Painting,D. Writing
Which Nigerian is noted for playing in the NBA?,medium,C,A. Mikel Obi,B. Kanu Nwankwo,C. Hakeem Olajuwon,D. Jay Jay Okocha
Which disease is caused by the lack of insulin?,medium,B,A. Hypertension,B. Diabetes,C. Asthma,D. Cancer
What is a popular Nigerian music genre emerging from Lagos?,medium,C,A. Jazz,B. Highlife,C. Afrobeat,D. Reggae
What is Kannywood known for?,medium,C,A. Nigerian fashion,B. Nigerian literature,C. Hausa cinema,D. Yoruba music
Which part of the body is affected by conjunctivitis?,medium,D,A. Nose,B. Ear,C. Skin,D. Eye
Who released the song 'Fem'?,easy,D,A. Burna Boy,B. Tiwa Savage,C. Olamide,D. Davido
What festival celebrates the Yoruba deity of thunder?,medium,B,A. Osun Festival,B. Sango Festival,C. Igwe Festival,D. Durbar
What organ is responsible for producing red blood cells?,medium,B,A. Liver,B. Bone marrow,C. Lymph nodes,D. Spleen
Which river flows through the city of Lagos?,hard,C,A. Niger,B. Benue,C. Ogun,D. Osun
Which popular Nigerian snack is made from cassava?,easy,D,A. Suya,B. Puff-puff,C. Akara,D. Garri
Who is Olamide popularly known as in the music world?,medium,A,A. Badoo,B. Ojuelegba,C. Eyan Mayweather,D. YBNL
In which year did Nigeria's first-ever entirely indigenous and local Nigerian feature film premiere?,hard,A,A. 1970,B. 1980,C. 1990,D. 1960
Which muscle is responsible for breathing?,medium,B,A. Triceps,B. Diaphragm,C. Gluteus,D. Pectoralis
Which Nigerian celebrity is famously known as an actress and producer?,medium,B,A. Chimamanda Adichie,B. Genevieve Nnaji,C. Tiwa Savage,D. Asa
Which is the major river basin development project in Nigeria?,hard,A,A. Niger River Basin,B. Chad River Basin,C. Hadejia River Basin,D. Didini River Basin
Which is the prevalent system of traditional religion among the Yoruba?,medium,B,A. Vodun,B. Ifá,C. Odinani,D. Orisa
Which evolutionary trend does the underlying skin layer affect?,medium,A,A. Thermoregulation,B. Osmoregulation,C. Respiratory regulation,D. Circulation
What is the Yoruba name for 'God of Iron'?,medium,C,A. Olodumare,B. Sango,C. Ogun,D. Esu
Who is known as the 'father of modern Igbo literature'?,easy,A,A. Chinua Achebe,B. Cyprian Ekwensi,C. Onyeka Nwelue,D. Chimamanda Ngozi Adichie
Which organ produces adrenaline?,easy,A,A. Adrenal glands,B. Liver,C. Pancreas,D. Lung
Which Nollywood actress and filmmaker starred in 'October 1'?,hard,C,A. Joke Silva,B. Funke Akindele,C. Nse Ikpe-Etim,D. Kate Henshaw
Which quest is central to a dubbing film's plot?,medium,B,A. Search for wealth,B. Search for power,C. Search for connection,D. Search for identity
What ancient kingdom existed in present-day Benin City?,medium,B,A. Oyo Empire,B. Benin Kingdom,C. Songhai Empire,D. Kanem Bornu
Which of the following is a type of joint enabling multi-directional movement?,medium,C,A. Hinge,B. Pivot,C. Ball-and-socket,D. Gliding
Which Kannywood actor/director is known for 'Sangaya'?,hard,A,A. Ali Nuhu,B. Sani Danja,C. Adam Zango,D. Yakubu Mohammed
